
SPDR S&P 500 ETF Trust,Last: 761.95,Change:  0.17
"Date: September 2, 2026 at 9:51 AM EDT",Bid: 761.94,Ask: 761.96,Size: 480*80,"Volume: 294,305"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 18 2026,SPY261218C00150000,596,0,610.53,613.88,0,1.1825,1,0,6,150.00,SPY261218P00150000,0.02,0,0.01,0.02,0,0.8986,-0.0003,0,32487
Fri Dec 18 2026,SPY261218C00200000,566.9,0,560.89,564.2,0,0.9681,0.9992,0,753,200.00,SPY261218P00200000,0.04,0,0.04,0.05,0,0.8069,-0.0006,0,31905
Fri Dec 18 2026,SPY261218C00210000,538.28,0,551.02,554.37,0,0.9339,0.9991,0,382,210.00,SPY261218P00210000,0.05,0,0.05,0.06,0,0.7913,-0.0006,0,4882
Fri Dec 18 2026,SPY261218C00220000,515.9,0,541.15,544.5,0,0.9028,0.999,0,82,220.00,SPY261218P00220000,0.07,0,0.05,0.06,0,0.7637,-0.0007,0,2478
Fri Dec 18 2026,SPY261218C00230000,509.19,0,531.29,534.63,0,0.8732,0.9989,0,14,230.00,SPY261218P00230000,0.07,0,0.06,0.07,0,0.7482,-0.0008,0,8359
Fri Dec 18 2026,SPY261218C00240000,511.4,0,521.42,524.74,0,0.8445,0.9988,0,27,240.00,SPY261218P00240000,0.08,0,0.07,0.08,0,0.7316,-0.0009,0,48970
Fri Dec 18 2026,SPY261218C00245000,422,0,516.49,519.84,0,0.8298,0.9988,0,21,245.00,SPY261218P00245000,0.08,0,0.08,0.09,0,0.7272,-0.001,0,523
Fri Dec 18 2026,SPY261218C00250000,512.19,0,511.55,514.9,0,0.8155,0.9987,0,145,250.00,SPY261218P00250000,0.1,0,0.08,0.09,0,0.7148,-0.001,0,5020
Fri Dec 18 2026,SPY261218C00255000,518.25,0,506.62,509.97,0,0.8028,0.9987,0,4,255.00,SPY261218P00255000,0.1,0,0.09,0.1,0,0.7097,-0.0011,0,1444
Fri Dec 18 2026,SPY261218C00260000,504.85,0,501.69,505.04,0,0.7904,0.9986,0,15,260.00,SPY261218P00260000,0.1,0,0.09,0.1,0,0.6973,-0.0012,0,5249
Fri Dec 18 2026,SPY261218C00265000,427.58,0,496.76,500.11,0,0.7782,0.9985,0,120,265.00,SPY261218P00265000,0.11,0,0.1,0.11,0,0.6922,-0.0013,0,269
Fri Dec 18 2026,SPY261218C00270000,486.29,0,491.83,495.18,0,0.7663,0.9984,0,65,270.00,SPY261218P00270000,0.12,0,0.11,0.12,0,0.686,-0.0013,0,680
Fri Dec 18 2026,SPY261218C00275000,490.09,0,486.9,490.25,0,0.7532,0.9984,0,124,275.00,SPY261218P00275000,0.12,0,0.11,0.12,0,0.6749,-0.0014,0,6334
Fri Dec 18 2026,SPY261218C00280000,435.2,0,481.97,485.29,0,0.7417,0.9983,0,56,280.00,SPY261218P00280000,0.13,0,0.12,0.13,0,0.6688,-0.0015,0,5475
Fri Dec 18 2026,SPY261218C00285000,353.65,0,477.04,480.36,0,0.7303,0.9982,0,103,285.00,SPY261218P00285000,0.14,0,0.13,0.14,0,0.6625,-0.0016,0,1790
Fri Dec 18 2026,SPY261218C00290000,369,0,472.11,475.46,0,0.7192,0.9981,0,16,290.00,SPY261218P00290000,0.14,0,0.14,0.15,0,0.6556,-0.0017,0,14989
Fri Dec 18 2026,SPY261218C00295000,404,0,467.18,470.53,0,0.7082,0.998,0,78,295.00,SPY261218P00295000,0.16,0,0.14,0.15,0,0.645,-0.0018,0,2494
Fri Dec 18 2026,SPY261218C00300000,480.12,0,462.25,465.6,0,0.6974,0.9979,0,240,300.00,SPY261218P00300000,0.16,0,0.15,0.16,0,0.6384,-0.0019,0,8273
Fri Dec 18 2026,SPY261218C00305000,469.7,0,457.32,460.67,0,0.6879,0.9978,0,6,305.00,SPY261218P00305000,0.16,0,0.16,0.17,0,0.6317,-0.002,0,398
Fri Dec 18 2026,SPY261218C00310000,446.05,0,452.39,455.74,0,0.6774,0.9977,0,69,310.00,SPY261218P00310000,0.18,0,0.17,0.18,0,0.6249,-0.0022,0,1927
Fri Dec 18 2026,SPY261218C00315000,442.53,0,447.46,450.81,0,0.667,0.9975,0,147,315.00,SPY261218P00315000,0.19,0,0.18,0.19,0,0.6179,-0.0023,0,852
Fri Dec 18 2026,SPY261218C00320000,430.79,0,442.53,445.88,0,0.6568,0.9974,0,29,320.00,SPY261218P00320000,0.19,0,0.19,0.2,0,0.6105,-0.0024,0,1475
Fri Dec 18 2026,SPY261218C00325000,411.16,0,437.6,440.96,0,0.6468,0.9973,0,58,325.00,SPY261218P00325000,0.2,0,0.2,0.21,0,0.6038,-0.0026,0,3178
Fri Dec 18 2026,SPY261218C00330000,415.5,0,432.68,436.03,0,0.6389,0.9971,0,23,330.00,SPY261218P00330000,0.21,0,0.21,0.22,0,0.5963,-0.0028,0,991
Fri Dec 18 2026,SPY261218C00335000,414.01,0,427.75,431.1,0,0.6291,0.997,0,11,335.00,SPY261218P00335000,0.24,0,0.22,0.23,0,0.5896,-0.0029,0,243
Fri Dec 18 2026,SPY261218C00340000,308.13,0,422.82,426.18,0,0.6194,0.9968,0,65,340.00,SPY261218P00340000,0.23,0,0.23,0.24,0,0.5824,-0.0031,0,2193
Fri Dec 18 2026,SPY261218C00345000,416.84,0,417.9,421.25,0,0.6118,0.9966,0,22,345.00,SPY261218P00345000,0.26,0,0.24,0.25,0,0.5752,-0.0032,0,1438
Fri Dec 18 2026,SPY261218C00350000,408.04,0,412.97,416.32,0,0.6024,0.9965,0,74,350.00,SPY261218P00350000,0.27,0,0.26,0.27,0,0.57,-0.0035,0,157188
Fri Dec 18 2026,SPY261218C00355000,394.98,0,408.05,411.4,0,0.595,0.9963,0,13,355.00,SPY261218P00355000,0.29,0,0.27,0.28,0,0.5631,-0.0036,0,1326
Fri Dec 18 2026,SPY261218C00360000,396.38,0,403.12,406.47,0,0.5858,0.9961,0,21,360.00,SPY261218P00360000,0.36,0,0.28,0.29,0,0.5558,-0.0038,0,3442
Fri Dec 18 2026,SPY261218C00365000,414.5,0,398.2,401.55,0,0.5785,0.9958,0,75,365.00,SPY261218P00365000,0.29,0,0.3,0.31,0,0.5491,-0.0041,0,1899
